origen,fecha_objetivo,horizonte,modelo,fold,error_abs,mae_acumulado
2025-03-24,2025-03-24,1,estacional_52s,1,1362.0,1362.0
2025-03-24,2025-03-24,1,hibrido,1,8.32112500053518,8.32112500053518
2025-03-24,2025-03-24,1,promedio_4s,1,0.0,0.0
2025-03-24,2025-03-24,1,rf,1,33.2845,33.2845
2025-03-24,2025-03-24,1,ses,1,7.135719906554395e-10,7.135719906554395e-10
2025-03-24,2025-03-24,1,ultimo_valor,1,0.0,0.0
2025-04-14,2025-04-14,1,hibrido,2,78.3121278377828,43.316626419158986
2025-04-14,2025-04-14,1,promedio_4s,2,79.0,39.5
2025-04-14,2025-04-14,1,rf,2,78.6775,55.980999999999995
2025-04-14,2025-04-14,1,ses,2,78.19033711704374,39.095168558878655
2025-04-14,2025-04-14,1,ultimo_valor,2,79.0,39.5
2025-05-05,2025-05-05,1,hibrido,3,977.4273250506843,354.68685929633415
2025-05-05,2025-05-05,1,promedio_4s,3,1035.42,371.47333333333336
2025-05-05,2025-05-05,1,rf,3,980.5512438095238,364.1710812698413
2025-05-05,2025-05-05,1,ses,3,976.3860187977377,351.52545197183167
2025-05-05,2025-05-05,1,ultimo_valor,3,971.1700000000001,350.0566666666667
2025-05-26,2025-05-26,1,hibrido,4,301.8194748814649,341.47001319261676
2025-05-26,2025-05-26,1,promedio_4s,4,369.2225,370.91062500000004
2025-05-26,2025-05-26,1,rf,4,363.8653776984127,364.0946553769841
2025-05-26,2025-05-26,1,ses,4,281.1375072758156,333.92846579782764
2025-05-26,2025-05-26,1,ultimo_valor,4,281.72,332.9725
2025-06-16,2025-06-16,1,hibrido,5,225.4685878827097,318.2697281306354
2025-06-16,2025-06-16,1,promedio_4s,5,224.18,341.56450000000007
2025-06-16,2025-06-16,1,rf,5,303.5788013095238,351.99148456349207
2025-06-16,2025-06-16,1,ses,5,199.43185007377167,307.0291426530165
2025-06-16,2025-06-16,1,ultimo_valor,5,243.0,314.978
2025-07-07,2025-07-07,1,estacional_52s,6,756.0,1059.0
2025-07-07,2025-07-07,1,hibrido,6,727.2545576786204,386.43386638863285
2025-07-07,2025-07-07,1,promedio_4s,6,179.47749999999996,314.55
2025-07-07,2025-07-07,1,rf,6,35.76966710317447,299.2878483201058
2025-07-07,2025-07-07,1,ses,6,981.5959659392186,419.45694653405013
2025-07-07,2025-07-07,1,ultimo_valor,6,1231.0,467.64833333333337
2025-03-24,2025-03-31,2,estacional_52s,1,176.0,176.0
2025-03-24,2025-03-31,2,hgb,1,0.0,0.0
2025-03-24,2025-03-31,2,hibrido,1,5.351789929915796e-10,5.351789929915796e-10
2025-03-24,2025-03-31,2,promedio_4s,1,0.0,0.0
2025-03-24,2025-03-31,2,ses,1,7.135719906554395e-10,7.135719906554395e-10
2025-03-24,2025-03-31,2,ultimo_valor,1,0.0,0.0
2025-04-14,2025-04-21,2,estacional_52s,2,129.0,152.5
2025-04-14,2025-04-21,2,hgb,2,3.184000920054019,1.5920004600270095
2025-04-14,2025-04-21,2,hibrido,2,1.403247392230705,0.701623696382942
2025-04-14,2025-04-21,2,promedio_4s,2,0.0,0.0
2025-04-14,2025-04-21,2,ses,2,0.809662882956267,0.4048314418349195
2025-04-14,2025-04-21,2,ultimo_valor,2,0.0,0.0
2025-05-05,2025-05-12,2,hgb,3,93.12093615672964,32.10164569226122
2025-05-05,2025-05-12,2,hibrido,3,103.36821994087913,34.923822444548335
2025-05-05,2025-05-12,2,promedio_4s,3,47.75,15.916666666666666
2025-05-05,2025-05-12,2,ses,3,106.78398120226228,35.864548028644045
2025-05-05,2025-05-12,2,ultimo_valor,3,112.0,37.333333333333336
2025-05-26,2025-06-02,2,estacional_52s,4,159.88,154.96
2025-05-26,2025-06-02,2,hgb,4,295.9995977518979,98.07613370717038
2025-05-26,2025-06-02,2,hibrido,4,142.14676898111276,61.72955907868944
2025-05-26,2025-06-02,2,promedio_4s,4,2.777499999999975,12.631874999999994
2025-05-26,2025-06-02,2,ses,4,90.86249272418439,49.614034202529126
2025-05-26,2025-06-02,2,ultimo_valor,4,90.27999999999997,50.56999999999999
2025-06-16,2025-06-23,2,hgb,5,1218.1224171320732,322.08539039215094
2025-06-16,2025-06-23,2,hibrido,5,1288.8892167276895,307.16149060848943
2025-06-16,2025-06-23,2,promedio_4s,5,1287.73,267.6515
2025-06-16,2025-06-23,2,ses,5,1312.4781499262285,302.186857347269
2025-06-16,2025-06-23,2,ultimo_valor,5,1268.91,294.238
2025-07-07,2025-07-14,2,estacional_52s,6,519.0,245.97
2025-07-07,2025-07-14,2,hgb,6,743.2542410245926,392.28019883089127
2025-07-07,2025-07-14,2,hibrido,6,1099.760534710562,439.2613312921682
2025-07-07,2025-07-14,2,promedio_4s,6,416.47749999999996,292.4558333333333
2025-07-07,2025-07-14,2,ses,6,1218.5959659392186,454.9217087792606
2025-07-07,2025-07-14,2,ultimo_valor,6,1468.0,489.865
2025-03-24,2025-04-07,3,estacional_52s,1,432.8,432.8
2025-03-24,2025-04-07,3,hibrido,1,6.675932859112128e-11,6.675932859112128e-11
2025-03-24,2025-04-07,3,nn_residual__ss_arima111,1,0.0,0.0
2025-03-24,2025-04-07,3,promedio_4s,1,0.0,0.0
2025-03-24,2025-04-07,3,ss_arima111,1,8.901243812149504e-11,8.901243812149504e-11
2025-03-24,2025-04-07,3,ultimo_valor,1,0.0,0.0
2025-04-14,2025-04-28,3,estacional_52s,2,1360.0,896.4
2025-04-14,2025-04-28,3,hibrido,2,94.87277964422503,47.4363898221459
2025-04-14,2025-04-28,3,nn_residual__ss_arima111,2,43.49111857690011,21.745559288450053
2025-04-14,2025-04-28,3,promedio_4s,2,112.0,56.0
2025-04-14,2025-04-28,3,ss_arima111,2,112.0,56.00000000004451
2025-04-14,2025-04-28,3,ultimo_valor,2,112.0,56.0
2025-05-05,2025-05-19,3,hibrido,3,52.386680687988985,49.08648677742693
2025-05-05,2025-05-19,3,nn_residual__ss_arima111,3,61.33161681305188,34.94091179665066
2025-05-05,2025-05-19,3,promedio_4s,3,233.97000000000003,115.32333333333334
2025-05-05,2025-05-19,3,ss_arima111,3,49.40503531296804,53.80167843768569
2025-05-05,2025-05-19,3,ultimo_valor,3,169.72000000000003,93.90666666666668
2025-05-26,2025-06-09,3,hibrido,4,48.45986940397029,48.92983243406277
2025-05-26,2025-06-09,3,nn_residual__ss_arima111,4,97.2628485215904,50.5213959778856
2025-05-26,2025-06-09,3,promedio_4s,4,126.22250000000003,118.04812500000001
2025-05-26,2025-06-09,3,ss_arima111,4,32.192209698096974,48.39931125278851
2025-05-26,2025-06-09,3,ultimo_valor,4,38.72000000000003,80.11000000000001
2025-06-16,2025-06-30,3,estacional_52s,5,1987.0,1259.9333333333334
2025-06-16,2025-06-30,3,hibrido,5,1813.406236763053,401.8251132998608
2025-06-16,2025-06-30,3,nn_residual__ss_arima111,5,1987.0,437.8171167823085
2025-06-16,2025-06-30,3,promedio_4s,5,1762.82,447.00249999999994
2025-06-16,2025-06-30,3,ss_arima111,5,1755.5416490174039,389.82777880571155
2025-06-16,2025-06-30,3,ultimo_valor,5,1744.0,412.88800000000003
2025-07-07,2025-07-21,3,estacional_52s,6,336.9,1029.175
2025-07-07,2025-07-21,3,hibrido,6,743.6569027114546,458.79707820179306
2025-07-07,2025-07-21,3,nn_residual__ss_arima111,6,336.9,420.9975973185904
2025-07-07,2025-07-21,3,promedio_4s,6,598.5775,472.26500000000004
2025-07-07,2025-07-21,3,ss_arima111,6,1103.8425369486063,508.830238496194
