fuente,semana_inicio,serie,importe_observado,importe_estimado,estado,metodo
compras,2021-05-10,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,ACEITE,,7.10546875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,ADMINISTRACION,,1.640625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,AMBIANTE,,21.91796875,estimado_promedio_simple,media_aritmetica_categoria
