id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,run_20260924T195600Z_86a6f5,Metodología,,False
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,3256e9b7c4ea3989fb13c00e8ba9af5fbc2a7638c20d87212bd2add2c2e03193,run_20260924T195600Z_86a6f5,Desarrollo,,False
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,d14775a311e1be85c0562addfe33b6ce8b3268297d2b87d278ecb8e62baee61a,run_20260924T195600Z_86a6f5,Desarrollo,,False
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,28ae70c9177a28f8b6af2018cc7349ccbda88d99594c3414e79ffa85235e11cc,run_20260924T195600Z_86a6f5,Desarrollo,,False
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,ec90e48cf334528b84b7f83687a36088f44ab81f2ba14bf894f1e492d4084f13,run_20260924T195600Z_86a6f5,Desarrollo,,False
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,9e4c915bca6a09828b97275fad6523a0d0a2a134621019d501bd88080ee9754e,run_20260924T195600Z_86a6f5,Desarrollo,,False
F06,Dependencia temporal en desarrollo,omitida,,,,,run_20260924T195600Z_86a6f5,Desarrollo,ACF/PACF requiere desarrollo continuo observado; no se comprimen ni imputan huecos.,False
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,6ad0fc0532b8057dfbdcde8f09c868ff3b186c5125eab543cfdb8a15456bba5a,run_20260924T195600Z_86a6f5,Desarrollo,,False
F08,Descomposición temporal exploratoria,omitida,,,,,run_20260924T195600Z_86a6f5,Desarrollo,STL requiere al menos 156 semanas de desarrollo sin huecos en esta configuración.,False
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,c1a61a78f7671d2b5bc48a9aeb503c16724cc481286444148351444bfb9e026f,run_20260924T195600Z_86a6f5,Desarrollo,,False
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,run_20260924T195600Z_86a6f5,Metodología,,False
F11,Selección de características,omitida,,,,,run_20260924T195600Z_86a6f5,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",False
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,run_20260924T195600Z_86a6f5,Metodología,,False
F13,Pesos y validación interna,generada,figuras/F13.png,figuras/F13.svg,figuras/F13_datos.csv,29703cc82065bffb5cdaee549323cf59d3e29c378e9831b01bcba5bc55c691b5,run_20260924T195600Z_86a6f5,Desarrollo,,False
F14,Pronósticos fuera de muestra,generada,figuras/F14.png,figuras/F14.svg,figuras/F14_datos.csv,b8515e0251fc08fc4f7ec7752c050f4a8bfe015753e6f7d80545b071e4b332ae,run_20260924T195600Z_86a6f5,Resultados,,False
F15,Composición observada y pronosticada,generada,figuras/F15.png,figuras/F15.svg,figuras/F15_datos.csv,338510363f7239eafc5f9e17880f8906bf9756924f11ac0a7954bdf68d7f8384,run_20260924T195600Z_86a6f5,Resultados,,False
F16,Asignación y reconciliación,generada,figuras/F16.png,figuras/F16.svg,figuras/F16_datos.csv,cf997df382bd0043d802e31fae2ab29847ec157f91b20ba03e7b640e8b963e5d,run_20260924T195600Z_86a6f5,Resultados,,False
F17,Errores monetarios,generada,figuras/F17.png,figuras/F17.svg,figuras/F17_datos.csv,2053588965925ca3059b285edc5f3ac59d631a3e64b2fb4302c51da526687622,run_20260924T195600Z_86a6f5,Resultados,,False
F18,Errores de participación,generada,figuras/F18.png,figuras/F18.svg,figuras/F18_datos.csv,acf01d91ed1243cd73f66ebc57837fcba41f461f5b53c371051930fd1eb3e369,run_20260924T195600Z_86a6f5,Resultados,,False
F19,Diferencias de pérdidas para H1,generada,figuras/F19.png,figuras/F19.svg,figuras/F19_datos.csv,42539d3dba5ff2affede804ed1614ebdce1c7527e105f56a67b04e620be6393b,run_20260924T195600Z_86a6f5,Resultados,,False
F20,Presupuesto de las cuatro semanas siguientes,generada,figuras/F20.png,figuras/F20.svg,figuras/F20_datos.csv,092251df9d77fdca814b424fd5dfaf23507b39af8cc0da52ac1f8a92568f3148,run_20260924T195600Z_86a6f5,Desarrollo,,False
F21,Interfaz del tablero,omitida,,,,,run_20260924T195600Z_86a6f5,Desarrollo,Captura requiere inspeccionar el HTML de la ejecución en navegador; no se sustituye con una maqueta.,False
F22,Controles de calidad,generada,figuras/F22.png,figuras/F22.svg,figuras/F22_datos.csv,3895d9faf9decfef7168486754724c03df206e88ae1906daafee28fe9aa2e53f,run_20260924T195600Z_86a6f5,Desarrollo,,False
F23,Convergencia del error rolling,generada,figuras/F23.png,figuras/F23.svg,figuras/F23_datos.csv,debbe12a89727722e28bc252b1b52ef968e63a4a44e6ec3b474bccbe50368544,run_20260924T195600Z_86a6f5,Resultados,,False
F24,Correlación de variables,generada,figuras/F24.png,figuras/F24.svg,figuras/F24_datos.csv,d5f9841e874100d5e5886290063d39fdebfcd99ea51422555595e0fa3f909a9c,run_20260924T195600Z_86a6f5,Resultados,,False
F25,Ventas semanales y semanas sin captura,generada,figuras/F25.png,figuras/F25.svg,figuras/F25_datos.csv,e44f4fb6fc303170b5149c09efab05a521444efad7c6827946e499469e295314,run_20260924T195600Z_86a6f5,Desarrollo,,False
