insumo_id,importe_4_semanas,participacion_4_semanas,total_4_semanas,unidad,periodo
HARINA,468.33,0.25238600783569826,1855.61,MXN nominales,próximas 4 semanas (28 días)
BASES,354.84,0.19122552691567732,1855.61,MXN nominales,próximas 4 semanas (28 días)
RESTO_ELEGIBLE,249.75,0.1345918592807756,1855.61,MXN nominales,próximas 4 semanas (28 días)
EMPAQUE,212.07,0.11428586825895527,1855.61,MXN nominales,próximas 4 semanas (28 días)
HUEVO,108.38,0.05840666950490674,1855.61,MXN nominales,próximas 4 semanas (28 días)
AMBIANTE,103.75,0.05591153313465653,1855.61,MXN nominales,próximas 4 semanas (28 días)
CHANTILLY,96.81,0.05217152311099854,1855.61,MXN nominales,próximas 4 semanas (28 días)
CHOCOLATE,87.08,0.04692796438906883,1855.61,MXN nominales,próximas 4 semanas (28 días)
FONDANT,87.07,0.04692257532563416,1855.61,MXN nominales,próximas 4 semanas (28 días)
DECORACION,56.739999999999995,0.03057754592829312,1855.61,MXN nominales,próximas 4 semanas (28 días)
CAPACILLOS,24.28,0.013084646019368295,1855.61,MXN nominales,próximas 4 semanas (28 días)
RELLENO,6.51,0.003508280295967364,1855.61,MXN nominales,próximas 4 semanas (28 días)
