horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,17914.96341748772,5
1,ss_ar1,hgb,0.5,16237.459647325979,5
1,ss_ar1,hgb,0.75,18048.309991123628,5
1,ss_ar1,rf,0.25,16780.625925701414,5
1,ss_ar1,rf,0.5,17716.9811043336,5
1,ss_ar1,rf,0.75,19905.94394539335,5
1,ss_ar1,ridge,0.25,67094.16918219025,5
1,ss_ar1,ridge,0.5,44512.549163642405,5
1,ss_ar1,ridge,0.75,29930.330919205873,5
1,ss_ar1,mlp,0.25,47470.255223758766,5
1,ss_ar1,mlp,0.5,34170.80621580751,5
1,ss_ar1,mlp,0.75,26129.892624181477,5
1,ss_arima111,hgb,0.25,13022.901370268275,5
1,ss_arima111,hgb,0.5,5832.73231038728,5
1,ss_arima111,hgb,0.75,1510.31412196589,5
1,ss_arima111,rf,0.25,9801.924601420884,5
1,ss_arima111,rf,0.5,4530.068064646791,5
1,ss_arima111,rf,0.75,1281.308799174529,5
1,ss_arima111,ridge,0.25,55217.51356442452,5
1,ss_arima111,ridge,0.5,24795.030399308667,5
1,ss_arima111,ridge,0.75,6407.74147950186,5
1,ss_arima111,mlp,0.25,37369.95805729735,5
1,ss_arima111,mlp,0.5,16821.765386546198,5
1,ss_arima111,mlp,0.75,4383.661635781779,5
1,ss_arima111,rf_residual__ss_arima111,0.25,34002.75989304145,5
1,ss_arima111,rf_residual__ss_arima111,0.5,15259.657739537633,5
1,ss_arima111,rf_residual__ss_arima111,0.75,3943.9533768585156,5
1,ss_arima111,nn_residual__ss_arima111,0.25,18716.217104316864,5
1,ss_arima111,nn_residual__ss_arima111,0.5,8474.413249699515,5
1,ss_arima111,nn_residual__ss_arima111,0.75,2254.2231499285917,5
1,ses,hgb,0.25,12991.688734242289,5
1,ses,hgb,0.5,5784.269693470616,5
1,ses,hgb,0.75,1458.5641792938513,5
1,ses,rf,0.25,9683.444363167191,5
1,ses,rf,0.5,4365.24864475985,5
1,ses,rf,0.75,1142.2912542747827,5
1,ses,ridge,0.25,55021.22992892501,5
1,ses,ridge,0.5,24526.473116427303,5
1,ses,ridge,0.75,6190.9205373563,5
1,ses,mlp,0.25,37207.32790223017,5
1,ses,mlp,0.5,16598.07941090794,5
1,ses,mlp,0.75,4200.494174068545,5
1,holt_damped,hgb,0.25,13390.62517174533,5
1,holt_damped,hgb,0.5,6323.789490457269,5
1,holt_damped,hgb,0.75,1880.3142577446768,5
1,holt_damped,rf,0.25,9770.547184436346,5
1,holt_damped,rf,0.5,4488.990286767985,5
1,holt_damped,rf,0.75,1252.2077164917214,5
1,holt_damped,ridge,0.25,55444.915116386386,5
1,holt_damped,ridge,0.5,25098.991246691738,5
1,holt_damped,ridge,0.75,6637.419365765454,5
1,holt_damped,mlp,0.25,37562.99945800074,5
1,holt_damped,mlp,0.5,17079.912698917953,5
1,holt_damped,mlp,0.75,4578.979370786891,5
2,ss_ar1,hgb,0.25,12944.880564764062,5
2,ss_ar1,hgb,0.5,23892.564018070017,5
2,ss_ar1,hgb,0.75,38830.33463628725,5
2,ss_ar1,rf,0.25,17491.068429914674,5
2,ss_ar1,rf,0.5,27312.39937804325,5
2,ss_ar1,rf,0.75,40734.77404121027,5
2,ss_ar1,ridge,0.25,47463.71820312005,5
2,ss_ar1,ridge,0.5,44276.09114132995,5
2,ss_ar1,ridge,0.75,47707.58254676185,5
2,ss_ar1,mlp,0.25,31585.083118955023,5
2,ss_ar1,mlp,0.5,35032.79363707045,5
2,ss_ar1,mlp,0.75,43757.16340389069,5
2,ss_arima111,hgb,0.25,3546.6814673271283,5
2,ss_arima111,hgb,0.5,1748.908097205048,5
2,ss_arima111,hgb,0.75,593.964166003131,5
2,ss_arima111,rf,0.25,6526.800293430637,5
2,ss_arima111,rf,0.5,3080.65140511548,5
2,ss_arima111,rf,0.75,932.3345318790605,5
2,ss_arima111,ridge,0.25,32571.738582322927,5
2,ss_arima111,ridge,0.5,14807.394522651364,5
2,ss_arima111,ridge,0.75,3977.4315531175207,5
2,ss_arima111,mlp,0.25,19073.203504682588,5
2,ss_arima111,mlp,0.5,8737.563693758131,5
2,ss_arima111,mlp,0.75,2407.1124167710614,5
2,ss_arima111,rf_residual__ss_arima111,0.25,14053.80015870638,5
2,ss_arima111,rf_residual__ss_arima111,0.5,6543.126573972513,5
2,ss_arima111,rf_residual__ss_arima111,0.75,1885.8097456441799,5
2,ss_arima111,nn_residual__ss_arima111,0.25,11933.805346825573,5
2,ss_arima111,nn_residual__ss_arima111,0.5,5462.950643285686,5
2,ss_arima111,nn_residual__ss_arima111,0.75,1512.2987522509552,5
2,ses,hgb,0.25,3425.5549147996585,5
2,ses,hgb,0.5,1576.193113500188,5
2,ses,hgb,0.75,439.1988724709654,5
2,ses,rf,0.25,6394.460473925781,5
2,ses,rf,0.5,2892.985398774105,5
