mes,observaciones,media,mediana,desviacion,min,max
1,15,430.627168952171,356.7200128744969,465.9170614624752,0.0,1890.502654867256
2,10,640.9600779196501,408.62389741131346,778.8995975776145,67.65109890109889,2678.653772727273
3,8,417.98113935922413,307.15443237152795,324.2583981824255,0.0,1002.594832116788
4,8,216.35499216176473,192.86524908333334,240.83690653177638,0.0,685.225631127451
5,10,303.08522860386745,47.90068493150686,424.3614672211603,0.0,1162.758767123288
6,8,183.51866771198144,62.625782227784725,235.749290487796,0.0,634.0281474085504
7,9,520.6542005467929,507.8490797546012,600.6896066236501,0.0,1494.48275862069
8,9,509.9998140076342,417.7758620689655,680.5796846919994,36.22988505747126,2250.320466873305
9,8,597.7399453097652,450.45531314156943,638.7143716182882,116.3885057471265,2127.90988764045
10,10,667.74113726534,315.4188988993567,870.9014351383091,0.0,2385.585732916015
11,8,549.1560003129276,555.5217592592592,363.93004200652484,67.93974358974359,1036.623136027659
12,8,858.5502595896374,787.3550678901902,690.9150188920149,278.1176470588235,2378.677768240343
