semana_anio,observaciones,media,mediana,desviacion,min,max
1,3,678.868641813405,93.62376237623761,1049.5074790608842,52.47950819672131,1890.502654867256
2,3,503.5138934749414,546.6958981612446,298.4821996185774,185.7926675094816,778.0531147540983
3,3,393.37750610685197,508.2934370579914,262.6553862468441,92.8483606557377,578.9907206068267
4,3,354.50292361628243,453.6651639344262,215.23980618921254,107.5558698727015,502.2877370417194
5,3,222.87287974937445,311.8986263736264,194.31026624396213,0.0,356.7200128744969
6,3,694.0408957743917,508.901154855643,346.14805394271104,479.8357142857142,1093.385818181818
7,3,1022.1217463608133,320.0603674540682,1440.1393597482806,67.65109890109889,2678.653772727273
8,2,125.34523448991952,125.34523448991952,57.70820687464747,84.53937007874015,166.1510989010989
9,2,505.2111919055236,505.2111919055236,237.3037790516429,337.4120805369127,673.0103032741345
10,2,167.4298686131387,167.4298686131387,236.78159093904614,0.0,334.8597372262774
11,2,617.2497650516825,617.2497650516825,544.9602200370421,231.9046979865771,1002.594832116788
12,2,391.94783383138196,391.94783383138196,159.09719621953994,279.4491275167785,504.4465401459854
13,2,495.29708994069347,495.29708994069347,373.31843395382714,231.32109375,759.2730861313869
14,2,192.86524908333334,192.86524908333334,122.6563050884561,106.134144,279.5963541666667
15,2,0.0,0.0,0.0,0.0,0.0
16,2,186.756,186.756,264.1128680545497,0.0,373.512
17,2,485.7987195637255,485.7987195637255,282.03224303560046,286.371808,685.225631127451
18,2,445.54383561643834,445.54383561643834,630.0941349604959,0.0,891.0876712328767
19,2,215.02614379084966,215.02614379084966,304.0928888138069,0.0,430.0522875816993
20,2,18.553082191780824,18.553082191780824,26.238020459439188,0.0,37.10616438356165
21,2,581.379383561644,581.379383561644,822.1946091169866,0.0,1162.758767123288
22,2,254.92369785862456,254.92369785862456,277.5089952466513,58.69520547945206,451.1521902377971
23,2,115.47255957298404,115.47255957298404,71.24976977760872,65.09136420525657,165.8537549407115
24,2,56.94373648879281,56.94373648879281,4.5487666744232795,53.72727272727273,60.16020025031289
25,2,11.341677096370464,11.341677096370464,16.039553569743415,0.0,22.68335419274093
26,2,550.3166976897785,550.3166976897785,118.38586751820056,466.6052479710067,634.0281474085504
27,2,0.0,0.0,0.0,0.0,0.0
28,2,731.256597077244,731.256597077244,1034.1529971614364,0.0,1462.513194154488
29,2,305.9445803501671,305.9445803501671,371.1396706672852,43.50920245398773,568.3799582463464
30,2,558.5013457228121,558.5013457228121,71.63312149717294,507.8490797546012,609.1536116910229
31,2,849.3417241379312,849.3417241379312,912.367200608926,204.2006896551724,1494.48275862069
32,2,320.3443606321839,320.3443606321839,401.79854462427807,36.22988505747126,604.4588362068965
33,2,266.6293103448276,266.6293103448276,213.75350335420234,115.4827586206897,417.7758620689655
34,2,267.50675287356324,267.50675287356324,247.33762120329897,92.61264367816094,442.4008620689655
35,2,1338.418394356193,1338.418394356193,1289.6242785098339,426.5163218390806,2250.320466873305
36,2,1122.1491966937883,1122.1491966937883,1422.360409638504,116.3885057471265,2127.90988764045
37,2,318.49732661759003,318.49732661759003,202.56524398156606,175.2620689655172,461.7325842696629
38,2,446.73331008652974,446.73331008652974,118.1274379029664,363.2045977011494,530.2620224719101
39,2,503.5799478411527,503.5799478411527,91.0780486641753,439.178042013476,567.9818536688294
40,2,243.4558317004684,243.4558317004684,297.9204057950819,32.79429250891796,454.1173708920188
41,2,462.9037558685446,462.9037558685446,654.64476962274,0.0,925.8075117370892
42,2,1174.0285070031764,1174.0285070031764,1271.0819904266207,275.2378121284185,2072.819201877934
43,2,87.72473246135554,87.72473246135554,124.06150640240031,0.0,175.4494649227111
44,2,1370.5928592931548,1370.5928592931548,1435.4166875894894,355.5999856702948,2385.585732916015
45,2,438.7003383190883,438.7003383190883,82.14634239190177,380.6141025641026,496.786574074074
46,2,341.09834401709395,341.09834401709395,386.3045974032121,67.93974358974359,614.2569444444443
47,2,572.7522435897438,572.7522435897438,641.0480497956606,119.4628205128205,1026.041666666667
48,2,844.0730753257844,844.0730753257844,272.3069072803538,651.5230146239097,1036.623136027659
49,2,1361.9028227390972,1361.9028227390972,1437.9369178090265,345.1278772378516,2378.677768240343
50,2,717.1227720272657,717.1227720272657,620.8470016816665,278.1176470588235,1156.127896995708
51,2,514.1549605940529,514.1549605940529,322.07867672529267,286.4109442060086,741.8989769820972
52,2,841.0204829981341,841.0204829981341,11.609737621346836,832.8111587982831,849.229807197985
